,Poster_Link,Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4
0,https://cdn.majorcineplex.com/uploads/movie/3995/thumb_3995.jpg?1234,RENAISSANCE A FILM BY BEYONCE,2023.0,170min,Musical,0.0,RENAISSANCE: A FILM BY BEYONCÉ รวบรวมเรื่องราวสุดประทับใจจากการเดินทางของคอนเสิร์ต RENAISSANCE WORLD TOUR ตั้งแต่เริ่มต้นไปจนถึงโชว์เปิดตัวที่เมืองสต็อกโฮล์ม ประเทศสวีเดน และไปสิ้นสุดที่แคนซัสซิตี มิสซูรี ขอเชิญทุกคนร่วมสัมผัสแง่มุมต่างๆ ของ Beyoncé ทั้งตัวตน ความตั้งใจ และความทุ่มเท เธอมีส่วนร่วมในทุกขั้นตอนของโปรดักชันด้วยการใส่ความคิดสร้างสรรค์ของเธอลงไป มุ่งสู่เป้าหมายที่จะเป็นตำนาน และรังสรรค์งานศิลป์ชิ้นเอกของเธออย่างพิถีพิถัน RENAISSANCE WORLD TOUR ของ Beyoncé ได้รับการยกย่องว่าเป็นโชว์ที่โดดเด่น เธอแบ่งปันความสุขร่วมกับแฟนๆ กว่า 2.7 ล้านคนและส่งเสริมให้ทุกคนรู้สึกถึงอิสระในตัวเอง,BEYONCE,BEYONCE,,,
1,https://cdn.majorcineplex.com/uploads/movie/3993/thumb_3993.jpg,NCT NATION To The World in Cinemas,2023.0,103min,Musical,0.0,"The brand-new concert film encompasses current NCT units - NCT U, NCT 127, NCT Dream, and WayV - creating an unparalleled collaborative spectacle in this must-see worldwide theatrical event. ",,NCT,,,
2,https://cdn.majorcineplex.com/uploads/movie/3997/thumb_3997.jpg,Sound Euphonium the Movie,2023.0,57min,Musical,7.2,"While Liz and the Blue Bird explored the relationship of band mates Mizore and Nozomi and took on a radical new art style, Our Promise: A Brand New Day returns to Sound! Euphonium's familiar style and the story of franchise protagonist Kumiko Oumae, now in her second year of high school. Follow Kumiko as she takes on the role of mentor towards the incoming class of new band members. Series director Tatsuya Ishihara reprises his directorial role to create a film that is sure to delight diehard fans and newcomers alike. ",TATSUYA ISHIHARA,AYAKA ASAI,TOMOYO KUROSAWA,CHIKA ANZAI,AYAKA NANASE
3,https://cdn.majorcineplex.com/uploads/movie/3631/thumb_3631.jpg?1234,Wish,2023.0,95min,Animation,0.0,"HOW DID THE WISHING STAR, UPON WHICH SO MANY CHARACTERS WISHED, COME TO BE? — Walt Disney Animation Studios’ original fairytale adventure “Wish” is an all-new story is set in the magical kingdom of Rosas, where Asha, an optimist with a sharp wit and a deep caring for her community, turns to the sky in a moment of need, and makes a wish. Asha’s plea is answered by a cosmic force, a little ball of boundless energy, Star. Together, they will face the most formidable of foes to save her community and prove that when the will of one courageous human connects with the magic of the stars – wondrous things can happen. The voice cast includes Ariana DeBose as Asha and Alan Tudyk as the pajama-wearing goat, Valentino. Featuring original songs by Julia Michaels, “Wish” is helmed by Chris Buck and Fawn Veerasunthorn, and produced by Peter Del Vecho and Juan Pablo Reyes. The feature film releases Fall 2023.","CHRIS BUCK,FAWN VEERASUNTHORN",CHRIS PINE,ALAN TUDYK,ARIANA DEBOSE,NATASHA ROTHWELL
4,https://cdn.majorcineplex.com/uploads/movie/3804/bg_3804.png,Napoleon,2023.0,158min,"Action,Drama",0.0,"A personal look at the French military leader’s origins and swift, ruthless climb to emperor, viewed through the prism of Napoleon’s addictive, volatile relationship with his wife and one true love, Josephine.",RIDLEY SCOTT,JOAQUIN PHOENIX,VANESSA KIRBY,JOHN HOLLINGWORTH,TAHAR RAHIM
5,https://cdn.majorcineplex.com/uploads/movie/3916/thumb_3916.jpg,Love Reset,2023.0,120min,"Comedy,Romance",7.6,"A romantic comedy about 'Roh Jeong-yeol' and 'Hong Na-ra' who lost their memories due to an unexpected accident just 30 days before the end of their married life, which started as a romance but turned into a thriller.",NAM DAE-JOONG,KANG HA-NEUL,JUNG SO-MIN,,
6,https://cdn.majorcineplex.com/uploads/movie/3965/thumb_3965.jpg,"Insomniacs After School
",2023.0,113min,"Comedy , Drama , Romance",6.7,"Two sleepless teenagers find kinship as they escape to their school's astronomy observatory. Unable to sleep at night, Ganta Nakami is cranky in class and unpopular with his classmates. He discovers that the school observatory, once used by the now-defunct astronomy club, may be the perfect place for a nap—but he's not alone. Fellow insomniac Isaki Magari is willing to share the observatory with Nakami, and a friendship between the two begins as they bond over the most unlikely of things. Dark rumors about what befell the members of the astronomy club keep people away from the school observatory, and that's what makes it the perfect sanctuary for Nakami and Magari to get some much-needed rest. Unfortunately, the school faculty can't allow its unsanctioned use. But if there were a new astronomy club, maybe these two insomniacs could have a place to call home!",CHIHIRO IKEDA,NANA MORI,"DAIKEN OKUDAIRA
","YUKI SAKURAI
","MINORI HAGIWARA
"
7,https://cdn.majorcineplex.com/uploads/movie/3968/thumb_3968.jpg,Lab-Lae-Kham-Cha-Nod,2023.0,80min,Drama,0.0,"""ลับแลคำชะโนด"" ภาพยนตร์ที่แสดงถึงอานุภาพความรักความต่างของสายพันธ์มนุษย์และพญานาค, อิทธิฤทธิ์เมืองบังบด, ความลึกลับของคำชะโนด ที่ถูกเขียนขึ้นเป็นบทประพันธ์และบทภาพยนตร์จาก นิมิต จินตนาการ โดย ปิฏษฎา ทรงกลด อำนวยการสร้างโดย รายาเมย์ ท้าวใค บริษัทอาร์ทิสสตาร์เอเชีย จำกัด นำแสดงโดย โจ้ ธนากร เสียงเพลิน , โบกี้-จิตรคุปต์ ศิลป์ชัยกิจ, พิมพ์ศราวดี จันทร์อิน, โสภาส ณ ตะกั่วทุ่ง, นภัทร ปั้นเหน่งเพชร, ยุทธพงศ์ คอคง (อ.ปอ นางฟ้าเลขลิขิต), ร่วมด้วยสิทธิชัย พรุเพชรแก้ว, กัญญภัค รุ่งกาญจนวงศ์, อัครชัย ดวงดารา, วีรินท์ภัค แก้วไพฑูรย์, สิริภพ หมีทอง, ปริษา ประภากวินกุล, โชติวิทย์ สมบูรณ์เสริม และดารานักแสดงชมรมคนศิลปะบันเทิง",PIDOSSADA SONGKLOD,,JITTACOOP SUNTHORNSILCHAI,พิมพ์ศราวดี จันทร์อิน,โสภาส ณ ตะกั่วทุ่ง
8,https://cdn.majorcineplex.com/uploads/movie/3969/thumb_3969.jpg,Arnold Is A Model Student,2023.0,85min,"Comedy , Drama",6.1,"Arnold is a clever student who has won many academic awards. One day, he meets Bee who runs an underground business helping students cheat on their exams. Bee asks Arnold to join his cheating ring and offers him a lot of money.",SORAYOS PRAPAPAN,YANIN PONGSUWAN,NIRAMON BUSAPAVANICH,KORNDANAI MARC DAUTZENBERG,WINYU WONGSURAWAT
9,https://cdn.majorcineplex.com/uploads/movie/3994/thumb_3994.jpg,Batman Returns (Re-Release),1989.0,125min,"Action , Crime , Fantasy",7.1,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",TIM BURTON,MICHELLE PFEIFFER,CHRISTOPHER WALKEN,,DANNY DEVITO
